source_url,broken_target,instances,example_anchor,link_position,recommended_action,note
https://defiliban.io/roobet-launches-prediction-markets-on-may-6-the-first-major-crypto-casino-to-integrate-the-format/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/fintech-revolution-summit-abu-dhabi-2025/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/cyber-revolution-summit-2026-mozambique-harnessing-innovation-for-a-safer-cyber-future/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/world-datacentre-summit-vietnam-2026-opens-sponsorship-speaking-and-exhibition-opportunities/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/govxcellence-summit-malaysia-2026/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/imf-economic-perspectives-2025/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/jakarta-sets-the-stage-for-a-people-powered-revolution-the-world-hr-summit-indonesia-lands-on-november-26-2025/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/air-summit-2026-where-artificial-intelligence-powers-the-next-wave-of-innovation/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/bahrain-powers-the-next-wave-of-financial-innovation-fintech-revolution-summit-2026-announced-in-manama/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/cyber-revolution-summit-2025-kuwait-harnessing-innovation-for-a-safer-cyber-future/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/air-summit-2025-where-artificial-intelligence-powers-the-next-wave-of-innovation/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/the-digital-revolution-summit-2025-lets-shape-a-smarter-tech-driven-future-together/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/saudi-arabia-to-host-the-oil-gas-technology-summit-2025-on-7th-8th-september/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/saudi-arabia-leads-middle-easts-fintech-future-fintech-revolution-summit-2025/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/australias-premier-crypto-event-returns-for-2025-auscryptocon-set-to-transform-sydney-this-november/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/govxcellence-philippines-2026-digitize-modernize-lead-advancing-governance-excellence-for-a-smarter-nation/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/blockchain-futurist-conference-returns-to-toronto-for-its-ninth-year/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/philippines-fintech-revolution-summit-2026-opens-sponsorship-speaking-and-exhibition-opportunities/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/fintech-revolution-summit-philippines-2026/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/canadian-scammer-cryptocurrency-theft/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
