broken_target,instances,best_destination,best_score,best_jaccard,best_sequence,second_score,margin,confidence,example_source_1,example_anchor_1,example_source_2,example_anchor_2
https://defiliban.io/uniswap-dao-votes-on-proposal-to-reclaim-42m-in-uni-delegation-loans/,2,https://defiliban.io/uniswap-dao-votes-proposal-reclaim-42m-uni-delegation-loans/,0.929,0.75,0.929,0,0.929,high,https://defiliban.io/bybit-delists-syn-from-futures-trading/,Uniswap DAO vote to reclaim $42M in UNI delegation loans,https://defiliban.io/tether-treasury-transfers-300m-usdt-to-bitfinex/,DeFi governance proposals
https://defiliban.io/bitcoin-mining-rewards-and-the-sec-protocol-mining-view/,2,https://defiliban.io/bitcoin-mining-rewards-sec-protocol-mining-view/,0.922,0.75,0.922,0.586,0.335,high,https://defiliban.io/blackrock-withdrew-6167-btc-from-coinbase-in-2-days/,its analysis of mining rewards and the SEC’s protocol mining view,https://defiliban.io/bitcoin-price-open-interest-divergence-downside-risk/,Bitcoin Mining Rewards and the SEC Protocol Mining View
https://defiliban.io/bitcoin-etf-flows-today-whats-verified-so-far/,2,https://defiliban.io/bitcoin-etf-flows-today-whats-verified/,0.916,0.75,0.916,0.731,0.184,high,https://defiliban.io/bitcoin-mining-rewards-sec-protocol-mining-view/,Bitcoin ETF Flows Today: What’s Verified So Far,https://defiliban.io/citigroup-cuts-bitcoin-ethereum-forecasts-us-crypto-legislation-stalls/,Bitcoin ETF flows today
https://defiliban.io/algorand-foundation-cuts-25-percent-staff-crypto-market-uncertainty/,2,https://defiliban.io/algorand-foundation-cuts-staff-crypto-market-uncertainty/,0.911,0.778,0.911,0,0.911,high,https://defiliban.io/sol-forward-industries-solana-treasury-strategy/,challenges faced by other blockchain ecosystems,https://defiliban.io/coinbase-bitcoin-yield-fund-base-share-claims/,plans for onchain share classes
https://defiliban.io/wallet-0x527-withdraws-219342-link-from-binance-holdings-climb-to-784954-link/,2,https://defiliban.io/wallet-0x527-withdraws-219342-link-from-binance-raising-holdings-to-784954-link/,0.91,0.833,0.91,0.613,0.298,high,https://defiliban.io/whale-deposits-300-btc-to-binance-after-two-years-of-inactivity/,large wallet movements involving Binance,https://defiliban.io/bitcoin-conference-las-vegas-set-to-begin-within-24-hours/,large token withdrawals from centralized exchanges
https://defiliban.io/bitcoin-etf-outflows-171m-ethereum-etf-92m-inflows-march-26/,2,https://defiliban.io/bitcoin-etf-outflows-171-million-ethereum-etf-inflows-march-26/,0.909,0.636,0.909,0.763,0.146,high,https://defiliban.io/bitcoin-eth-drop-defi-liquidation/,Bitcoin ETF outflows hit $171 million on March 26,https://defiliban.io/258m-crypto-liquidations-bitcoin-118m-4-hours/,significant ETF outflows totaling $171 million
https://defiliban.io/institutional-bitcoin-demand-hits-highest-level-since-october-2025/,2,https://defiliban.io/institutional-bitcoin-demand-highest-since-october-2025/,0.909,0.778,0.909,0,0.909,high,https://defiliban.io/sec-chair-bitcoin-mining-rewards-not-securities-washington-dc/,institutional Bitcoin demand has accelerated,https://defiliban.io/bitcoin-clears-59k-72k-supply-zone-conviction-pending/,Institutional Bitcoin demand has reached its highest level since October 2025
https://defiliban.io/bitcoin-etf-inflows-support-btc-buying-pressure/,2,https://defiliban.io/bitcoin-etf-inflows-btc-buying-pressure/,0.907,0.857,0.907,0.622,0.285,high,https://defiliban.io/bitcoin-80k-odds-top-60k-polymarket-march/,Bitcoin ETF inflow patterns,https://defiliban.io/roboforce-52m-funding-physical-ai/,Bitcoin ETF inflows supporting BTC buying pressure
https://defiliban.io/businesses-are-buying-more-bitcoin-than-etfs-and-governments-in-2026/,2,https://defiliban.io/businesses-buying-more-bitcoin-than-etfs-and-governments/,0.903,0.727,0.903,0,0.903,high,https://defiliban.io/ethgas-3-billion-eth-validator-liquidity/,Businesses Are Buying More Bitcoin Than ETFs and Governments in 2026,https://defiliban.io/xrp-ripple-kyobo-tokenized-bond-settlements-korea/,Businesses Are Buying More Bitcoin Than ETFs and Governments in 2026
https://defiliban.io/bitcoin-crashes-below-71000-down-5-today/,2,https://defiliban.io/bitcoin-crashes-under-71000-down-5-today/,0.9,0.75,0.9,0,0.9,high,https://defiliban.io/institutional-bitcoin-demand-highest-since-october-2025/,fallen sharply from those highs,https://defiliban.io/bitcoin-clears-59k-72k-supply-zone-conviction-pending/,"Bitcoin recently crashed below $71,000 with a 5% single-day decline"
https://defiliban.io/morgan-stanley-files-second-amended-s-1-spot-bitcoin-etf/,2,https://defiliban.io/morgan-stanley-second-amended-s1-spot-bitcoin-etf-sec/,0.899,0.583,0.899,0.667,0.232,high,https://defiliban.io/coinbase-bitcoin-yield-fund-base-share-claims/,institutional moves toward tokenized fund products,https://defiliban.io/gemini-collective-lawsuit-investor-misrepresentation/,institutional crypto product filings
https://defiliban.io/coinbase-adds-virtual-pros-and-kaio-to-its-asset-roadmap/,2,https://defiliban.io/coinbase-adds-virtual-pros-kaio-asset-roadmap/,0.891,0.7,0.891,0.707,0.184,high,https://defiliban.io/coinbase-adds-wron-to-its-listing-roadmap-2/,"added VIRTUAL, PROS, and KAIO to its asset roadmap",https://defiliban.io/blend-listed-on-bybit-spot/,Coinbase continue expanding their asset roadmaps
https://defiliban.io/top-5-crypto-news-for-the-last-24-hours-mantle-lending-hits-1-35b/,2,https://defiliban.io/top-5-crypto-news-last-24-hours-mantle-lending-1-35b/,0.889,0.786,0.889,0.684,0.205,high,https://defiliban.io/strategy-ceo-phong-le-morgan-stanley-msbt-massive-bitcoin-bet/,crypto-native firms,https://defiliban.io/haliey-welch-hawk-tuah-meme-coin-crash-response/,daily market developments
https://defiliban.io/bitcoin-whale-moves-btc-binance-years-dormancy/,2,https://defiliban.io/bitcoin-whale-moves-btc-to-binance-after-years-of-dormancy/,0.885,0.7,0.885,0.701,0.183,high,https://defiliban.io/upbit-ethfi-krw-listing-etherfi/,long-dormant Bitcoin whales have begun moving assets to exchanges,https://defiliban.io/xrp-evernorth-s-4-nasdaq-listing-arm-merger/,large-scale crypto-adjacent financial moves
https://defiliban.io/u-s-spot-bitcoin-etfs-add-186m-in-inflows-on-april-15/,2,https://defiliban.io/us-spot-bitcoin-etfs-186m-inflows-april-15/,0.884,0.538,0.884,0.718,0.166,high,https://defiliban.io/us-government-bitfinex-seized-funds-8-2-btc-coinbase-prime/,recent U.S. spot ETF inflow data,https://defiliban.io/unified-labs-joins-morpho-risk-curator/,U.S. Spot Bitcoin ETFs Add $186M in Inflows on April 15
https://defiliban.io/spot-bitcoin-etfs-223m-net-inflows-april-23/,2,https://defiliban.io/spot-bitcoin-etfs-post-223-million-net-inflows-april-23/,0.878,0.636,0.878,0.8,0.078,high,https://defiliban.io/metaplanet-jpy-8-billion-bonds-buy-bitcoin/,spot Bitcoin ETFs posted $223 million in net inflows on April 23,https://defiliban.io/south-africa-draft-crypto-capital-control-regulations/,spot Bitcoin ETFs posting notable inflows
https://defiliban.io/morgan-stanley-spot-bitcoin-etf-gets-official-listing-launch-imminent/,2,https://defiliban.io/morgan-stanley-spot-bitcoin-etf-official-listing-announcement-launch-imminent/,0.877,0.818,0.877,0.695,0.182,high,https://defiliban.io/strive-asst-sata-options/,institutional Bitcoin ETF listings,https://defiliban.io/bitcoin-etf-flows-today-outflow-111m/,new institutional ETF entrants like Morgan Stanley
https://defiliban.io/ethereum-whale-long-exit-claims-face-verification-gap/,2,https://defiliban.io/ethereum-whale-long-exit-verification-gap/,0.872,0.75,0.872,0,0.872,high,https://defiliban.io/us-bitcoin-spot-etfs-202-million-net-inflow-march-16/,recent whale positioning across crypto markets,https://defiliban.io/0x58bro-shorts-under-pressure-ena-ltc-bnb-btc-eth-hype/,verification gaps around Ethereum whale long exits
https://defiliban.io/bitcoin-etf-flows-today-latest-confirmed-inflows-reached-411-4m/,2,https://defiliban.io/bitcoin-etf-flows-today-latest-confirmed-inflows/,0.865,0.7,0.865,0.673,0.192,high,https://defiliban.io/btc-bitcoin-pumps-back-above-75000/,spot Bitcoin ETF inflows reaching $411.4 million,https://defiliban.io/bitcoin-nears-78k-resistance-glassnode-week-15-2026/,Bitcoin ETF inflows
https://defiliban.io/new-york-attorney-general-sues-coinbase-gemini/,2,https://defiliban.io/new-york-attorney-general-coinbase-gemini-lawsuit/,0.863,0.75,0.863,0,0.863,high,https://defiliban.io/justin-sun-lawsuit-trump-family-crypto-project-world-liberty-financial/,New York Attorney General’s suits against major exchanges,https://defiliban.io/bitmine-stakes-61232-eth-worth-142-million-holdings-3395869-eth/,involving Coinbase and Gemini
https://defiliban.io/700-days-post-bitcoin-halving-cycle-bottom/,2,https://defiliban.io/bitcoin-halving-700-days-cycle-bottom/,0.857,0.857,0.709,0,0.857,high,https://defiliban.io/ark-invest-circle-shares-20-drop/,macro cycle positioning,https://defiliban.io/ripple-xrp-mas-singapore-sandbox/,crypto market navigates its post-halving cycle dynamics
https://defiliban.io/amundi-launches-100m-tokenized-fund-on-ethereum/,2,https://defiliban.io/amundi-100m-tokenized-fund-ethereum/,0.854,0.714,0.854,0.658,0.195,high,https://defiliban.io/algorand-foundation-cuts-staff-crypto-market-uncertainty/,institutional tokenization activity grows on competing chains,https://defiliban.io/morgan-stanley-second-amended-s1-spot-bitcoin-etf-sec/,institutional crypto product landscape
https://defiliban.io/hyperliquid-plans-event-trading-product-to-rival-polymarket/,2,https://defiliban.io/hyperliquid-event-trading-product-polymarket/,0.854,0.625,0.854,0,0.854,high,https://defiliban.io/doj-pig-butchering-crypto-scam-crackdown-276-arrests/,new trading products,https://defiliban.io/coinbase-lists-mega-for-spot-trading/,"Hyperliquid, which is expanding into new trading products"
https://defiliban.io/circle-cirbtc-launch-targets-coinbase-wrapped-bitcoin-market/,2,https://defiliban.io/circle-cirbtc-launch-challenge-coinbase-wrapped-bitcoin/,0.852,0.667,0.852,0,0.852,high,https://defiliban.io/cambodia-first-cybercrime-law-scam-compounds/,wrapped Bitcoin market,https://defiliban.io/ethereum-foundation-staked-another-45034-eth-93-11m/,Circle cirBTC Launch Targets Coinbase Wrapped Bitcoin Market
https://defiliban.io/ethereum-foundation-stakes-additional-eth-arkham-monitoring-shows/,2,https://defiliban.io/ethereum-foundation-stakes-additional-eth-arkham/,0.85,0.75,0.85,0.586,0.263,high,https://defiliban.io/circle-compliance-failures-zachxbt-420m-allegations/,"Ethereum Foundation Stakes Additional ETH, Arkham Monitoring Shows",https://defiliban.io/charles-schwab-crypto-vertical-bitcoin-buying-soon/,"Ethereum Foundation Stakes Additional ETH, Arkham Monitoring Shows"
https://defiliban.io/cftc-and-doj-lawsuit-against-illinois-what-the-verified-filings-show/,2,https://defiliban.io/cftc-doj-lawsuit-against-illinois-verified-filings/,0.847,0.636,0.847,0,0.847,high,https://defiliban.io/coinbase-occ-conditional-approval-report/,what the verified filings show in another recent defiliban review,https://defiliban.io/strategy-estimated-buy-617-btc-via-strc-today/,what the verified filings showed in the Illinois case
https://defiliban.io/morgan-stanley-bitcoin-etf-160b-market/,2,https://defiliban.io/morgan-stanley-bitcoin-etf-160-billion-market-impact/,0.844,0.556,0.844,0.786,0.059,high,https://defiliban.io/machi-5250-eth-long-liquidated-market-drop/,institutional ETF appetite across crypto assets,https://defiliban.io/resolvlabs-usr-suspected-exploit-stablecoin-risk/,institutional confidence in DeFi stablecoin infrastructure
https://defiliban.io/senator-cynthia-lummis-pushes-bitcoin-and-crypto-market-structure-bill/,2,https://defiliban.io/senator-cynthia-lummis-bitcoin-crypto-market-structure-legislation/,0.838,0.636,0.838,0.667,0.172,high,https://defiliban.io/bitcoin-crashes-under-71000-down-5-today/,Senator Cynthia Lummis has been pushing a Bitcoin and crypto market structure bill,https://defiliban.io/institutional-bitcoin-demand-highest-since-october-2025/,regulatory environment continues to evolve
https://defiliban.io/coinbase-bitcoin-backed-mortgage-buy-home-btc/,2,https://defiliban.io/coinbase-bitcoin-backed-mortgage/,0.831,0.571,0.831,0.541,0.291,high,https://defiliban.io/bitcoin-etf-inflows-rebound/,emergence of Bitcoin-backed financial products,https://defiliban.io/brazil-anti-crime-law-crypto/,Bitcoin-backed mortgage offerings
https://defiliban.io/top-5-crypto-news-24-hours-mastercard-kraken-market-moves/,2,https://defiliban.io/top-5-crypto-news-last-24-hours-mastercard-kraken/,0.83,0.727,0.83,0.693,0.137,high,https://defiliban.io/wealthiest-families-parking-money-in-bitcoin/,steady drumbeat of institutional crypto adoption,https://defiliban.io/800-kw-texas-edition-bitcoin-hash-hut-new-mexico-oil-gas/,bitcoin mining with industrial energy operations
https://defiliban.io/hong-kong-police-reveal-crypto-scam-that-tricked-66-year-old-retiree/,2,https://defiliban.io/hong-kong-police-crypto-scam-66-year-old-retiree/,0.828,0.75,0.828,0,0.828,high,https://defiliban.io/morgan-stanley-bitcoin-etf-160-billion-market-impact/,broader crypto market,https://defiliban.io/trend-research-transferred-0-852-eth-to-garrett-jin/,increased scrutiny on crypto transaction patterns
https://defiliban.io/goldman-sachs-files-for-bitcoin-premium-income-etf/,2,https://defiliban.io/goldman-sachs-bitcoin-premium-income-etf-filing/,0.825,0.667,0.825,0.625,0.2,high,https://defiliban.io/businesses-buying-more-bitcoin-than-etfs-and-governments/,Goldman Sachs’ Bitcoin Premium Income ETF filing,https://defiliban.io/hal-finney-bitcoin-10-million-prediction/,wave of bitcoin investment-product headlines
https://defiliban.io/brazil-anti-crime-law-crypto-defi-impact/,2,https://defiliban.io/brazil-anti-crime-law-crypto/,0.824,0.714,0.824,0.529,0.294,high,https://defiliban.io/mellow-protocol-tvl-surges-300m-liquid-restaking-airdrop/,liquid restaking protocols and broader DeFi platforms,https://defiliban.io/bitcoin-etf-inflows-rebound/,regulatory frameworks in traditional finance
https://defiliban.io/sen-kevin-cramer-pushes-bitcoin-and-crypto-market-structure-bill-before-easter/,2,https://defiliban.io/kevin-cramer-bitcoin-crypto-market-structure-legislation-before-easter/,0.824,0.615,0.824,0.614,0.21,high,https://defiliban.io/trump-oil-prices-drop-like-a-rock-iran-war/,Sen. Kevin Cramer’s push for a Bitcoin and crypto market structure bill,https://defiliban.io/bitcoin-capital-money-cypherpunk-financial-products/,U.S. market structure legislation around Bitcoin and crypto
https://defiliban.io/sec-clarifies-some-defi-uis-can-avoid-broker-dealer-registration/,2,https://defiliban.io/sec-clarifies-certain-defi-uis-can-operate-without-broker-dealer-registration/,0.823,0.615,0.823,0,0.823,high,https://defiliban.io/floresta-utreexo-full-bitcoin-node-android/,some DeFi interfaces can avoid broker-dealer treatment,https://defiliban.io/qcp-capital-us-iran-talks-collapse-oil-100-btc-risk-off/,the SEC’s recent clarification on some DeFi UIs
https://defiliban.io/eric-voorhees-linked-wallet-and-122355-eth-whale-activity-analysis/,2,https://defiliban.io/eric-voorhees-wallet-122355-eth-whale-activity/,0.821,0.7,0.821,0,0.821,high,https://defiliban.io/btc-bullish-bearish-social-ratio-5-week-low/,"Eric Voorhees-Linked Wallet and 122,355 ETH: Whale Activity Analysis",https://defiliban.io/tom-lee-bitmine-buys-40000-eth-falconx/,"Eric Voorhees-Linked Wallet and 122,355 ETH: Whale Activity Analysis"
https://defiliban.io/ripple-xrp-trade-finance-mas-singapore-sandbox/,2,https://defiliban.io/ripple-xrp-mas-singapore-sandbox/,0.821,0.714,0.821,0,0.821,high,https://defiliban.io/binance-market-maker-guidelines-token-issuer-disclosure/,Singapore’s MAS sandbox,https://defiliban.io/rba-tokenization-aud-24-billion/,trade finance and bond settlement
https://defiliban.io/grayscale-spot-tao-etf-filing-august-decision/,2,https://defiliban.io/grayscale-files-for-spot-tao-etf-august-decision/,0.817,0.667,0.817,0.632,0.186,high,https://defiliban.io/tesla-no-bitcoin-sales-q1-2026/,new crypto ETF filings,https://defiliban.io/believe-founder-benjamin-pasternak-arrested-strangulation-assault-charges/,institutional players like Grayscale filed new ETF products
https://defiliban.io/morgan-stanley-spot-bitcoin-etf-could-start-trading-this-week-bloomberg/,2,https://defiliban.io/morgan-stanley-spot-bitcoin-etf-trading-this-week/,0.817,0.727,0.817,0.619,0.198,high,https://defiliban.io/april-7-bitcoin-ethereum-etf-net-flows-update/,spot Bitcoin ETFs began trading,https://defiliban.io/bitcoin-spot-etf-net-outflow-april-7-sosovalue/,Morgan Stanley Spot Bitcoin ETF Could Start Trading This Week: Bloomberg
https://defiliban.io/us-iran-conflict-odds-crypto-risk-outlook/,2,https://defiliban.io/us-iran-conflict-odds-70-may-crypto-risk/,0.815,0.667,0.815,0,0.815,high,https://defiliban.io/uniswap-foundation-fy-2025-financial-summary-january-2027-runway-2/,geopolitical risk scenarios have shaped crypto market outlooks,https://defiliban.io/pippin-price-crash-bxnu5a-wallet-balance-shrinks/,recent geopolitical risk assessments
https://defiliban.io/wealthiest-families-are-quietly-parking-serious-money-in-bitcoin/,2,https://defiliban.io/wealthiest-families-parking-money-in-bitcoin/,0.815,0.667,0.815,0,0.815,high,https://defiliban.io/bitcoin-whale-moves-btc-to-binance-after-years-of-dormancy/,large holders are increasingly scrutinized,https://defiliban.io/trump-middle-east-troop-report-crypto-risk/,wealthy families have been increasing their Bitcoin allocations
https://defiliban.io/blackrocks-european-ishares-bitcoin-etp-ib1t-tops-1-1b/,2,https://defiliban.io/blackrock-european-ishares-bitcoin-etp-ib1t-surpasses-1-1-billion-assets/,0.81,0.462,0.81,0,0.81,high,https://defiliban.io/western-union-solana-based-stablecoin-usdpt-goes-live/,Institutional digital asset products have seen growing demand,https://defiliban.io/kraken-parent-payward-completes-bitnomial-acquisition/,BlackRock’s expansion of Bitcoin ETP products
https://defiliban.io/commons-bridge-hack-syndicate-reports-security-breach/,2,https://defiliban.io/commons-bridge-hack-syndicate-report/,0.809,0.5,0.809,0,0.809,high,https://defiliban.io/bybit-lists-blend-futures/,security incidents affecting crypto infrastructure,https://defiliban.io/hyperliquid-event-trading-product-polymarket/,Commons Bridge security breach
https://defiliban.io/circle-compliance-failures-zachxbt-alleges-420m-gap/,2,https://defiliban.io/circle-compliance-failures-zachxbt-420m-allegations/,0.804,0.625,0.804,0,0.804,high,https://defiliban.io/top-5-crypto-news-last-24-hours-blockstream-quantum-security/,Circle compliance failures: ZachXBT alleges $420M gap,https://defiliban.io/charles-schwab-crypto-vertical-bitcoin-buying-soon/,Circle compliance failures: ZachXBT alleges $420M gap
https://defiliban.io/santiment-btc-bullish-to-bearish-social-ratio-falls-to-5-week-low/,2,https://defiliban.io/btc-bullish-bearish-social-ratio-5-week-low/,0.796,0.727,0.796,0,0.796,high,https://defiliban.io/kevin-warsh-fed-chair-hearing-april-16-fed-probe/,Santiment: BTC Bullish-to-Bearish Social Ratio Falls to 5-Week Low,https://defiliban.io/btc-etfs-22-6m-net-weekly-inflow-4-days/,Santiment’s recent note that BTC’s bullish-to-bearish social ratio fell to a five-week low
https://defiliban.io/strategy-buys-3273-btc-255m-holdings-818334-btc/,2,https://defiliban.io/strategy-bought-3273-btc-for-255-million-total-holdings-818334-btc/,0.796,0.417,0.796,0.604,0.192,high,https://defiliban.io/gemini-launches-agentic-trading-automated-crypto-accounts/,Strategy continue accumulating Bitcoin,https://defiliban.io/colombia-largest-pension-fund-bitcoin-blackrock-ibit/,Strategy have accumulated massive Bitcoin positions
https://defiliban.io/uniswap-foundation-fy-2025-financial-summary-shows-runway-through-january-2027/,2,https://defiliban.io/uniswap-foundation-fy-2025-financial-summary-january-2027-runway-2/,0.792,0.75,0.792,0,0.792,high,https://defiliban.io/bitcoin-55k-before-100k-crowded-trade/,Uniswap Foundation FY 2025 Financial Summary Shows Runway Through January 2027,https://defiliban.io/feds-barr-private-money-safeguards-stablecoin-scrutiny/,Uniswap Foundation FY 2025 Financial Summary Shows Runway Through January 2027
https://defiliban.io/sosovalue-us-spot-bitcoin-etfs-saw-11-84m-inflow/,2,https://defiliban.io/sosovalue-us-spot-bitcoin-etfs-11-84-million-net-inflow-april-21/,0.786,0.5,0.786,0.689,0.097,high,https://defiliban.io/bitcoin-short-liquidations-reach-132-million-in-24-hours/,U.S. spot Bitcoin ETFs recently saw $11.84 million in net inflows,https://defiliban.io/gsr-announces-first-etf-beso-actively-managed-crypto-fund/,spot Bitcoin ETFs that have attracted steady inflows
https://defiliban.io/bnp-paribas-crypto-etns-trading/,2,https://defiliban.io/bnp-paribas-crypto-linked-etns-trading-expansion/,0.785,0.714,0.785,0,0.785,high,https://defiliban.io/worldcoin-wld-otc-sale-usdc/,new trading instruments,https://defiliban.io/ethereum-tokenized-assets-61-percent-206-billion-token-terminal/,BNP Paribas expanding its crypto-linked trading offerings
https://defiliban.io/morgan-stanley-msbt-bitcoin-etf-defi-wbtc-impact/,2,https://defiliban.io/morgan-stanley-msbt-bitcoin-etf/,0.785,0.625,0.785,0.72,0.065,high,https://defiliban.io/ton-catchain-2-mainnet-april/,institutional products like wrapped asset structures,https://defiliban.io/nvidia-crypto-lawsuit-ruling/,Bitcoin ETF flows
https://defiliban.io/bitcoin-drops-65770-defi-liquidation-risk/,2,https://defiliban.io/bitcoin-eth-drop-defi-liquidation/,0.784,0.375,0.784,0,0.784,high,https://defiliban.io/bitcoin-ethereum-etf-flows-mar-27/,DeFi liquidation risk in prior drawdown episodes,https://defiliban.io/crypto-tax-stablecoin-exemption/,mounting DeFi liquidation risk
https://defiliban.io/bitrefill-cyberattack-on-march-1-2026-what-we-know/,2,https://defiliban.io/bitrefill-cyberattack-march-2026/,0.78,0.444,0.78,0,0.78,high,https://defiliban.io/bitcoin-55k-before-100k-crowded-trade/,"Bitrefill Cyberattack on March 1, 2026: What We Know",https://defiliban.io/feds-barr-private-money-safeguards-stablecoin-scrutiny/,"Bitrefill Cyberattack on March 1, 2026: What We Know"
https://defiliban.io/morgan-stanleys-amy-oldenburg-on-spot-bitcoin-etfs-record-debut/,2,https://defiliban.io/morgan-stanley-amy-oldenburg-spot-bitcoin-etf-best-first-day-trading/,0.779,0.312,0.779,0.707,0.072,high,https://defiliban.io/ethereum-staking-ratio-record-high-85b-network-security/,Morgan Stanley’s Amy Oldenburg on spot Bitcoin ETF demand,https://defiliban.io/scroll-scr-binance-first-pre-market-8m-market-cap/,spot ETF launch flows
https://defiliban.io/coinbase-ventures-shifts-capital-to-tokenization-defi-and-ai/,2,https://defiliban.io/coinbase-ventures-funding-slows-capital-shifts-tokenization-defi-ai-agents/,0.776,0.583,0.776,0,0.776,high,https://defiliban.io/kelpdao-exploit-aave-rseth-bad-debt/,"Coinbase Ventures Shifts Capital to Tokenization, DeFi, and AI",https://defiliban.io/ethereum-foundation-grant-review-ketman-north-korean-hackers/,"tokenization, DeFi, and AI investment themes"
https://defiliban.io/btc-etfs-see-22-6m-net-weekly-inflow-after-just-4-trading-days/,2,https://defiliban.io/btc-etfs-22-6m-net-weekly-inflow-4-days/,0.772,0.692,0.772,0,0.772,high,https://defiliban.io/vanguard-bitcoin-etf-trading-reversal/,recent spot BTC ETF flow data,https://defiliban.io/kevin-warsh-fed-chair-hearing-april-16-fed-probe/,BTC ETFs See $22.6M Net Weekly Inflow After Just 4 Trading Days
https://defiliban.io/aaves-25000-eth-proposal-for-kelp-dao-response/,2,https://defiliban.io/aave-25000-eth-proposal-kelp-dao-vulnerabilities/,0.766,0.5,0.766,0,0.766,high,https://defiliban.io/bitcoin-etfs-weekly-inflows-823-million-daily-streak/,"Aave’s 25,000 ETH allocation for Kelp DAO",https://defiliban.io/drift-plans-to-relaunch-its-exchange-in-may-or-june/,"Aave’s 25,000 ETH proposal involving Kelp DAO"
